coach,teams
Mark Dantonio,michigan-state
Phil Bennett,pittsburgh
Sylvester Croom,mississippi-state
Jeff Stoutland,miami-fl
Greg Robinson,syracuse
Buddy Teevens,stanford
Pete Carroll,southern-california
Derek Mason,vanderbilt
Jim Harbaugh,michigan|stanford
DeWayne Walker,ucla
Jackie Sherrill,mississippi-state
Barney Cotton,nebraska
Dana Holgorsen,west-virginia
Bobby Williams,michigan-state
Frank Spaziani,boston-college
Hugh Freeze,mississippi
Ron Zook,florida|illinois
Frank Solich,nebraska
Tom Allen,indiana
Vic Koenning,illinois
Sonny Dykes,california
Gary Pinkel,missouri
Ted Roof,duke
Jon Embree,colorado
Jim Donnan,georgia
Luke Fickell,ohio-state
Justin Fuente,virginia-tech
Art Briles,baylor
Mike DuBose,alabama
Charlie Weis,kansas|notre-dame
Bill Cubit,illinois
Dennis Erickson,arizona-state|oregon-state
Mike Sherman,texas-am
Ron Turner,illinois
Ron McBride,utah
Bill Callahan,nebraska
Lloyd Carr,michigan
Jim Caldwell,wake-forest
Pat Fitzgerald,northwestern
Nick Saban,alabama|louisiana-state
Urban Meyer,utah|ohio-state|florida
Mark Stoops,kentucky
Barry Odom,missouri
Paul Chryst,pittsburgh|wisconsin
Gary Andersen,wisconsin|oregon-state
Chris Petersen,washington
John Bunting,north-carolina
Paul Pasqualoni,syracuse
R.C. Slocum,texas-am
Doug Marrone,syracuse
Mike Bellotti,oregon
Mark Richt,georgia|miami-fl
Mike Shula,alabama
David Shaw,stanford
Darrell Hazell,purdue
Bret Bielema,wisconsin|arkansas
Ralph Friedgen,maryland
Les Miles,oklahoma-state|louisiana-state
Tom Hayes,kansas
Bob Toledo,ucla
Kevin Wilson,indiana
Rich Brooks,kentucky
Jim Tressel,ohio-state
Clint Bowen,kansas
Ed Kezirian,ucla
Kliff Kingsbury,texas-tech
Mike MacIntyre,colorado
Phillip Fulmer,tennessee
Mark Helfrich,oregon
Tracy Claeys,minnesota
Tim Kish,arizona
Randy Edsall,maryland
Dana Bible,north-carolina-state
John Mackovic,arizona
Barry Alvarez,wisconsin
Mike Riley,nebraska|oregon-state
Lou Holtz,south-carolina
Bob Stoops,oklahoma
Gerry DiNardo,indiana
Rich Rodriguez,michigan|arizona|west-virginia
Paul Hackett,southern-california
Gary Barnett,colorado
George O'Leary,georgia-tech
Dave Clawson,wake-forest
Mike Johnson,ucla
Larry Coker,miami-fl
Joker Phillips,kentucky
Bob Davie,notre-dame
Dennis Franchione,alabama|texas-am|texas-christian
Randy Walker,northwestern
Clay Helton,southern-california
Randy Shannon,miami-fl
Shawn Elliott,south-carolina
Al Golden,miami-fl
Pat Narduzzi,pittsburgh
Jeff Jagodzinski,boston-college
Jim Grobe,baylor|wake-forest
Brian Kelly,notre-dame
Mike Stoops,arizona
Tim Brewster,minnesota
Steve Sarkisian,southern-california|washington
Kevin Steele,baylor
Keith Gilbertson,washington
Tim DeRuyter,texas-am
Kirk Ferentz,iowa
Mike Gundy,oklahoma-state
Paul Rhoads,iowa-state
Steve Addazio,boston-college
Bronco Mendenhall,virginia
Bobby Petrino,louisville|arkansas
Kyle Flood,rutgers
Bill Doba,washington-state
Tim Beckman,illinois
Woody Widenhofer,vanderbilt
Lovie Smith,illinois
David Beaty,kansas
Joe Kines,alabama
Bobby Bowden,florida-state
Al Groh,virginia
Dave Wannstedt,pittsburgh
Gary Patterson,texas-christian
Tom Bradley,penn-state
Jeff Horton,minnesota
Turner Gill,kansas
Glen Mason,minnesota
Tom O'Brien,boston-college|north-carolina-state
Jimbo Fisher,florida-state
Ron Vanderlinden,maryland
Joe Rudolph,pittsburgh
Bruce Snyder,arizona-state
Steve Spurrier,florida|south-carolina
George Welsh,virginia
Todd Graham,pittsburgh|arizona-state
Steve Kragthorpe,louisville
Carl Torbush,north-carolina
D.J. Durkin,maryland|florida
Larry Fedora,north-carolina
Bill Stewart,west-virginia
Tom Holmoe,california
Dan McCarney,iowa-state
Tyrone Willingham,washington|notre-dame|stanford
Terry Hoeppner,indiana
Bill Lynch,indiana
Dave Doeren,north-carolina-state
Mack Brown,texas
Mike Locksley,maryland
Gerad Parker,purdue
Paul Johnson,georgia-tech
Bob Simmons,oklahoma-state
Chan Gailey,georgia-tech
Jim Mora,ucla
John Cooper,ohio-state
Cam Cameron,indiana
Mark Mangino,kansas
Jeff Tedford,california
Chris Thomsen,texas-tech
Kyle Whittingham,utah
Ron Prince,kansas-state
Tommy Bowden,clemson
Carl Franks,duke
Brian Cabral,colorado
Marques Tuiasosopo,washington
Bill Snyder,kansas-state
Frank Beamer,virginia-tech
Jim Chaney,tennessee
Keith Patterson,pittsburgh
Dick Tomey,arizona
Kirby Smart,georgia
Mike Hankwitz,arizona|colorado
Robbie Caldwell,vanderbilt
Dan Hawkins,colorado
Patrick Higgins,purdue
Guy Morriss,baylor|kentucky
Walt Harris,pittsburgh|stanford
Derek Dooley,tennessee
John Smith,michigan-state|louisville|arkansas
Everett Withers,north-carolina
Terry Allen,kansas
Reggie Herring,arkansas
Ed Orgeron,southern-california|mississippi|louisiana-state
Scott Shafer,syracuse
Dabo Swinney,clemson
Kevin Sumlin,texas-am
Jim McElwain,florida
Matt Campbell,iowa-state
Houston Nutt,mississippi|arkansas
Dan Mullen,mississippi-state
Terry Shea,rutgers
Larry Smith,missouri
Jon Tenuta,georgia-tech
James Franklin,penn-state|vanderbilt
Joe Tiller,purdue
Jerry Kill,minnesota
Charlie Strong,louisville|florida|texas
Bobby Johnson,vanderbilt
Butch Jones,tennessee
Hal Mumme,kentucky
Bryan McClendon,georgia
Karl Dorrell,ucla
Dino Babers,syracuse
Danny Hope,purdue
Paul Wulff,washington-state
Dirk Koetter,arizona-state
Mike Leach,washington-state|texas-tech
Bo Pelini,nebraska
Mike London,virginia
Chip Kelly,oregon
Rick Neuheisel,washington|ucla
Tommy Tuberville,texas-tech|auburn
Will Muschamp,florida|south-carolina
Lane Kiffin,southern-california|tennessee
Morris Watts,michigan-state
Chris Ash,rutgers
Don Nehlen,west-virginia
Ruffin McNeill,texas-tech
Joe Paterno,penn-state
Gus Malzahn,auburn
Brady Hoke,michigan
Kent Baer,notre-dame
David Cutcliffe,duke|mississippi
Mike Price,washington-state
Greg Schiano,rutgers
Larry Scott,miami-fl
Gene Chizik,iowa-state|auburn
Chuck Amato,north-carolina-state
Bill O'Brien,penn-state
Butch Davis,north-carolina|miami-fl
