coach,franchises
L. Drew,ATL|MIL
P. Riley,MIA
Q. Snyder,UTA
B. Cartwright,CHI
C. Ford,PHI
M. Williams,NORLHP
K. McHale,HOU|MIN
G. Irvine,DET
F. Johnson,PHO
D. Issel,DEN
M. D'Antoni,LAL|NYK|HOU|PHO
F. Vogel,IND|ORL
K. O'Neill,TOR
S. Brooks,WAS|SEAOKC
M. Jackson,GSW
B. Winters,GSW
J. Bower,NORLHP
D. Fizdale,VANMEM
E. Spoelstra,MIA
L. Wilkens,TOR|NYK
L. Brown,DET|PHI|CHARBH|NYK
T. Corbin,SAC|UTA
K. Natt,SAC
R. Tomjanovich,LAL|HOU
L. Kruger,ATL
J. Van Gundy,NYK|HOU
D. Chaney,NYK
B. Hill,ORL|SEAOKC
S. Vincent,CHARBH
T. Brown,NJNBRK
J. Bzdelik,DEN
L. Frank,NJNBRK|DET
L. Walton,LAL
J. Boylan,CHI|MIL
K. Atkinson,NJNBRK
D. Johnson,LAC
J. Triano,TOR
B. Brown,PHI
M. Hunt,DEN
J. Carroll,BOS
D. Fisher,NYK
D. Collins,PHI|WAS
E. Musselman,SAC|GSW
N. McMillan,IND|SEAOKC|POR
J. Loyer,DET
M. Dunleavy,POR|LAC
J. Bickerstaff,HOU
M. Woodson,NYK|ATL
H. Williams,NYK
R. Pitino,BOS
T. Thibodeau,CHI|MIN
B. Weiss,SEAOKC
B. Bickerstaff,LAL|CHARBH
D. Nelson,DAL|GSW
R. Adelman,SAC|HOU|MIN
M. Cheeks,POR|PHI|DET
L. Hamilton,WAS
I. Thomas,IND|NYK
A. Johnson,DAL|NJNBRK
P. Westphal,SAC|SEAOKC
B. Malone,CLE
M. Iavaroni,VANMEM
D. Casey,TOR|MIN
K. Canales,POR
J. Lucas,CLE
B. Stevens,BOS
P. Jackson,LAL
L. Krystkowiak,MIL
R. Wittman,CLE|WAS|MIN
M. Fratello,VANMEM
D. Cowens,GSW
J. O'Brien,IND|PHI|BOS
M. Budenholzer,ATL
K. Rambis,NYK|MIN
S. Van Gundy,MIA|ORL|DET
P. Silas,CLE|CHARBH|NORLHP
C. Jent,ORL
E. Watson,PHO
B. Berry,CHI
K. Pritchard,POR
J. Sloan,UTA
J. Kidd,NJNBRK|MIL
F. Saunders,WAS|DET|MIN
K. Vandeweghe,NJNBRK
T. Floyd,CHI|NORLHP
T. DiLeo,PHI
T. Porter,PHO|MIL
G. Popovich,SAS
R. Ayers,PHI
S. Mitchell,TOR|MIN
B. Scott,LAL|CLE|NJNBRK|NORLHP
M. Evans,DEN
D. Rivers,ORL|BOS|LAC
P. Carlesimo,NJNBRK|SEAOKC
M. Malone,SAC|DEN
F. Hoiberg,CHI
B. Donovan,SEAOKC
T. Lue,CLE
L. Hollins,NJNBRK|VANMEM
T. Barone,VANMEM
K. Hughes,LAC
M. Cooper,DEN
S. Lowe,VANMEM
S. Kerr,GSW
M. Brown,LAL|CLE
E. Tapscott,WAS
J. Borrego,ORL
J. Davis,ORL|VANMEM
M. Dunlap,CHARBH
L. Hunter,PHO
D. Joerger,SAC|VANMEM
E. Jordan,PHI|WAS
B. Shaw,DEN
F. Hamblen,LAL
J. Hornacek,NYK|PHO
M. Montgomery,GSW
J. Kuester,DET
D. Blatt,CLE
R. Carlisle,DAL|IND|DET
T. Barrise,NJNBRK
G. Karl,SAC|MIL|DEN
T. Stotts,ATL|POR|MIL
M. Curry,DET
P. Myers,CHI
V. Del Negro,CHI|LAC
K. Smart,SAC|CLE|GSW
J. Vaughn,ORL
S. Skiles,CHI|ORL|PHO|MIL
A. Gentry,PHO|NORLHP|LAC
S. Clifford,CHARBH
R. Theus,SAC
H. Brown,VANMEM
