coach.id,name,franchises
adelmri01c,Rick Adelman,"HOU, MIN, SAC"
aingeda01c,Danny Ainge,PHO
atkinke01c,Kenny Atkinson,NJN
ayersra99c,Randy Ayers,PHI
baronto99c,Tony Barone,MEM
barrito99c,Tom Barrise,NJN
beilejo99c,John Beilein,CLE
berrybi99c,Bill Berry,CHI
bickebe99c,Bernie Bickerstaff,"CHA, LAL"
bickejb01c,J.B. Bickerstaff,"CLE, HOU, MEM"
birdla01c,Larry Bird,IND
blattda99c,David Blatt,CLE
borreja99c,James Borrego,"CHA, ORL"
bowerje99c,Jeff Bower,NOH
boylaji99c,Jim Boylan,"CHI, MIL"
boyleji02c,Jim Boylen,CHI
brooksc01c,Scott Brooks,"OKC, WAS"
brownbr99c,Brett Brown,PHI
brownhu99c,Hubie Brown,MEM
brownla01c,Larry Brown,"CHA, DET, NYK, PHI"
brownmi99c,Mike Brown,"CLE, CLE, LAL"
brownto01c,Tony Brown,NJN
budenmi99c,Mike Budenholzer,"ATL, MIL"
bzdelje99c,Jeff Bzdelik,DEN
canalka99c,Kaleb Canales,POR
carlepj99c,P.J. Carlesimo,"NJN, GSW, OKC"
carliri01c,Rick Carlisle,"DAL, DET, IND"
carrojo99c,John Carroll,BOS
cartebu01c,Butch Carter,TOR
cartwbi01c,Bill Cartwright,CHI
caseybo99c,Don Casey,NJN
caseydw99c,Dwane Casey,"DET, MIN, TOR"
chanedo01c,Don Chaney,NYK
cheekma01c,Maurice Cheeks,"DET, PHI, POR"
cliffst99c,Steve Clifford,"CHA, ORL"
collido01c,Doug Collins,"PHI, WAS"
coopemi01c,Michael Cooper,DEN
corbity01c,Tyrone Corbin,"SAC, UTA"
cowenda01c,Dave Cowens,GSW
currymi01c,Michael Curry,DET
dantomi01c,Mike D'Antoni,"HOU, LAL, NYK, PHO"
davisjo01c,Johnny Davis,"MEM, ORL"
delnevi01c,Vinny Del Negro,"CHI, LAC"
dileoto99c,Tony DiLeo,PHI
donovbi99c,Billy Donovan,OKC
drewla01c,Larry Drew,"ATL, CLE, MIL"
dunlami99c,Mike Dunlap,CHA
dunlemi01c,Mike Dunleavy,"LAC, POR"
evansmi01c,Mike Evans,DEN
fishede01c,Derek Fisher,NYK
fizdada01c,David Fizdale,"MEM, NYK"
floydti99c,Tim Floyd,"CHI, NOH"
fordch01c,Chris Ford,"LAC, PHI"
frankla99c,Lawrence Frank,"NJN, DET"
fratemi99c,Mike Fratello,MEM
gentral99c,Alvin Gentry,"DET, LAC, NOH, PHO"
hamblfr99c,Frank Hamblen,LAL
hamille99c,Leonard Hamilton,WAS
heardga01c,Gar Heard,WAS
hillbo99c,Bob Hill,OKC
hillbr99c,Brian Hill,"MEM, ORL"
hoibefr99c,Fred Hoiberg,CHI
hollili01c,Lionel Hollins,"NJN, MEM, MEM, MEM"
hornaje01c,Jeff Hornacek,"NYK, PHO"
hugheki01c,Kim Hughes,LAC
hunteli01c,Lindsey Hunter,PHO
huntme01c,Melvin Hunt,DEN
iavarma01c,Marc Iavaroni,MEM
irvinge01c,George Irvine,DET
isselda01c,Dan Issel,DEN
jacksma01c,Mark Jackson,GSW
jacksph01c,Phil Jackson,"LAL, LAL"
jenkita01c,Taylor Jenkins,MEM
jentch01c,Chris Jent,ORL
joergda99c,Dave Joerger,"MEM, SAC"
johnsav01c,Avery Johnson,"NJN, DAL"
johnsde01c,Dennis Johnson,LAC
johnsfr01c,Frank Johnson,PHO
jordaed01c,Eddie Jordan,"PHI, WAS"
karlge01c,George Karl,"DEN, MIL, SAC"
kerrst01c,Steve Kerr,GSW
kiddja01c,Jason Kidd,"NJN, MIL"
kokosig01c,Igor Kokoskov,PHO
krugelo99c,Lon Kruger,ATL
krystla01c,Larry Krystkowiak,MIL
kuestjo01c,John Kuester,DET
lowesi01c,Sidney Lowe,MEM
loyerjo99c,John Loyer,DET
lucasjo01c,John Lucas,CLE
luety01c,Tyronn Lue,CLE
malonbr99c,Brendan Malone,CLE
malonmi99c,Mike Malone,"DEN, SAC"
mchalke01c,Kevin McHale,"HOU, MIN, MIN"
mcmilna01c,Nate McMillan,"IND, OKC, POR"
millemi99c,Mike Miller,NYK
mitchsa01c,Sam Mitchell,"MIN, TOR"
montgmi99c,Mike Montgomery,GSW
musseer99c,Eric Musselman,"GSW, SAC"
myerspe01c,Pete Myers,"CHI, CHI"
nattke01c,Kenny Natt,SAC
nelsodo01c,Don Nelson,"DAL, GSW"
nurseni01c,Nick Nurse,TOR
obrieji99c,Jim O'Brien,"BOS, IND, PHI"
oneilke99c,Kevin O'Neill,TOR
piercll01c,Lloyd Pierce,ATL
pitinri99c,Rick Pitino,BOS
popovgr99c,Gregg Popovich,SAS
portete01c,Terry Porter,"MIL, PHO"
pritcke01c,Kevin Pritchard,POR
pruntjo01c,Joe Prunty,MIL
rambiku01c,Kurt Rambis,"MIN, NYK"
rileypa01c,Pat Riley,"MIA, MIA"
riverdo01c,Doc Rivers,"BOS, LAC, ORL"
saundfl99c,Flip Saunders,"DET, MIN, MIN, WAS"
saundry01c,Ryan Saunders,MIN
scottby01c,Byron Scott,"NJN, CLE, LAL, NOH"
shawbr01c,Brian Shaw,DEN
silaspa01c,Paul Silas,"CHA, CHA, CLE, NOH"
skilesc01c,Scott Skiles,"CHI, MIL, ORL, PHO"
sloanje01c,Jerry Sloan,UTA
smartke01c,Keith Smart,"CLE, GSW, SAC"
snydequ01c,Quin Snyder,UTA
spoeler99c,Erik Spoelstra,MIA
stevebr99c,Brad Stevens,BOS
stjeaga99c,Garry St. Jean,GSW
stottte99c,Terry Stotts,"ATL, MIL, POR"
tapsced99c,Ed Tapscott,WAS
theusre01c,Reggie Theus,SAC
thiboto99c,Tom Thibodeau,"CHI, MIN"
thomais01c,Isiah Thomas,"IND, NYK"
toddji99c,Jim Todd,LAC
tomjaru01c,Rudy Tomjanovich,"HOU, LAL"
trianja99c,Jay Triano,"PHO, TOR"
vandeki01c,Kiki Vandeweghe,NJN
vanguje99c,Jeff Van Gundy,"HOU, NYK"
vangust99c,Stan Van Gundy,"DET, MIA, ORL"
vaughja01c,Jacque Vaughn,"NJN, ORL"
vincesa01c,Sam Vincent,CHA
vogelfr99c,Frank Vogel,"IND, LAL, ORL"
walkeda01c,Darrell Walker,WAS
waltolu01c,Luke Walton,"LAL, SAC"
watsoea01c,Earl Watson,PHO
weissbo01c,Bob Weiss,OKC
westppa01c,Paul Westphal,"OKC, SAC"
wilkele01c,Lenny Wilkens,"ATL, NYK, TOR"
willihe01c,Herb Williams,"NYK, NYK"
willimo01c,Monty Williams,"NOH, PHO"
wintebr01c,Brian Winters,GSW
wittmra01c,Randy Wittman,"CLE, MIN, WAS"
woodsmi01c,Mike Woodson,"ATL, NYK"
